customer_name,customer_ref,state,branch,zone,city,address,email,phone,role,product_code,product_desc,serial_id,warranty_code,warranty_desc,warranty_start_date,warranty_end_date,dealer_code,dealer_name,product_category_code,product_category_desc
111 SAVE LIFE HOSPITAL,7000117044,Jharkhand,Kolkata,East,JAMSHEDPUR,ADITYAPUR / JAMSHEDPUR 831013 / IN,,,Prospect,MAMEFLO6,AWS E FLO 6,FNTB4H3584,SALESWARRANTY,SALES WARRANTY,2024-12-10,2025-12-09,5000032,M/s DELTA MEDICAL SERVICES,AW01,Anaesthesia work station
12 Air Force Hospital,7000001018,Uttar Pradesh,Lucknow,North,Gorakhpur,Akash Vihar Gorakhpur / Gorakhpur 273165 / IN,,,Direct Customer,MAMEFLO7DT,AWS E FLO7 WITH TOUCH SCREEN,JHTA6E1001,SALESWARRANTY,SALES WARRANTY,2017-04-28,2018-04-27,5000060,M/s GORAKHPUR ENTERPRISES,AW01,Anaesthesia work station
A 2 Hospital,7000072686,Bihar,Kolkata,East,gopalganj,"""C/o Dr. Asama khan art college , Arar road , gopalganj bih",,,Prospect,MAMEFLO6,AWS E FLO 6,FNTD9G1680,SALESWARRANTY,SALES WARRANTY,2019-10-29,2020-10-27,5000067,M/s ID MEDITECH,AW01,Anaesthesia work station
Aarthy Muthu Hospital,7000001912,Tamil Nadu,Chennai,South,Dindigul,Nilakottai Dindigul / Dindigul 624001 / IN,,,Direct Customer,MCS9805CB,COLPOSCOPE MODEL CS9805C,DVC0210216,SALESWARRANTY,SALES WARRANTY,2016-12-01,2017-11-30,5000101,M/s MEDIC-CARE ELECTRONICS,GY01,Colposcope
Altrus Healthcare,7000126182,Uttarakhand,Delhi,North,Dehradun,"19, New Rd, Race Course, Dehradun, / Dehradun 248001 / IN",,,Prospect,MCOLVIEWC1,COLPO VIEW C1,KGTA4H1200,STD3YRSWARRANTY,3 Years Standard Warranty,2024-12-31,2027-12-31,1081,SATISH KUMAR DHANGAR,GY01,Colposcope
AALE PHATA MULTI SP HOSPITAL,7000119061,Maharashtra,Mumbai,West,Alephata,Alephata / Alephata 412411 / IN,,,Prospect,MDF2509R,DEFIBRILLATOR WITH RECODER DF 2509R,BZMU3E8438,SALESWARRANTY,SALES WARRANTY,2024-02-05,2025-02-03,5000055,M/s GANDHI ENTERPRISES,DF02,Defibrillators- Mono phasic
Aanch Hospital,7000001803,Rajasthan,Jaipur,North,Jaipura,K 32 Income Tax Colony / Jaipura 302001 / IN,,,Direct Customer,MDF2617R,BIPHASIC DF MDF2617 WITH RECORDER,DMML6C2451,SALESWARRANTY,SALES WARRANTY,2018-05-15,2019-05-15,5000106,M/s MEDICARE SERVICES,DF01,Defibrillators-Bi-Phasic
AARDRAM MEDICAL CENTRE,7000101725,Kerala,Kochi,South,KOLLAM,KOLLAM / KOLLAM 601021 / IN,,,Prospect,MRELIFE900R,RELIFE MODEL 900 WITH RECORDER,GSMG1L2764,SALESWARRANTY,SALES WARRANTY,2022-02-04,2023-02-03,5000147,M/s RADIX HEALTHCARE,DF01,Defibrillators-Bi-Phasic
Aarogya Hospital,7000062717,Chhattisgarh,Raipur,West,Dalli Rajhara,Railway Station - Hospital Rd / Dalli Rajhara 491228 / IN,,,Prospect,MDF2509,DEFIBRILLATOR DF 2509,BYMP9G8666,SALESWARRANTY,SALES WARRANTY,2019-12-25,2020-12-23,5000152,M/s S & S MEDI-EQUIPMENTS,DF02,Defibrillators- Mono phasic
Aarogya Multi Speciality Hospital,7000033308,Assam,Kolkata,East,Assam,Nizarapar / Assam 782490 / IN,,,Direct Customer,MRELIFE900R,RELIFE MODEL 900 WITH RECORDER,GSJH5C1822,STD3YRSWARRANTY,3 Years Standard Warranty,2025-08-13,2028-08-13,1032,MUKTA GOHAIN,DF01,Defibrillators-Bi-Phasic
Aarogyam Hospital,7000036559,Gujarat,Ahmedabad,West,Kutch,behing police station adipur kutch . Kutch 370205 . / Kutch,,,Direct Customer,MDF2617R,BIPHASIC DF MDF2617 WITH RECORDER,DMMQ0K4191,SALESWARRANTY,SALES WARRANTY,2021-02-15,2022-02-14,5000227,VIKAS SURGICALS,DF01,Defibrillators-Bi-Phasic
Skylab Diagnostic Pvt Ltd,7000121989,West Bengal,Kolkata,East,bolpur,bolpur / bolpur 731236 / IN,,,Prospect,M9108,MULTI CHANNEL RECORDER - A4 - M9108,DUTB4D16520,SALESWARRANTY,SALES WARRANTY,2024-09-03,2025-09-02,5000040,M/s ELECTROCARE SERVICES,EC02,Electrocardiographs-Multi channel
Skyline healthcare,7000124569,Tamil Nadu,Chennai,South,Chennai,"No.2, Velavan nagar, paper mills road, kolathur, Chennai / C",,,Prospect,MECG9108D,MULTI CHANNEL RECORDER 9108D,KKTA4J-10200,STD3YRSWARRANTY,3 Years Standard Warranty,2025-02-12,2028-02-12,904,Ashok Kumar A,EC02,Electrocardiographs-Multi channel
SMART BRAIN HOUSE PVT LTD,7000095162,Maharashtra,Mumbai,West,AKOLA,AKOLA 444001 / IN,,,Prospect,MECG7108,ECG 3 CH - CARDIART 7108,EUMD0C3165,SALESWARRANTY,SALES WARRANTY,2021-05-12,2022-05-11,5000096,M/s MANGESH MEDI - TECH,EC02,Electrocardiographs-Multi channel
SMART HEALTH LABORATORY,7000120143,Kerala,Kochi,South,PALAKKAD,"KAVIPARAMBU, KANAMBRA, PALAKKAD / PALAKKAD 678686 / IN",,,Prospect,MECG6208VIEWC,ECG MACHINE 6208 VIEW PLUS,DETE3M28297,SALESWARRANTY,SALES WARRANTY,2024-05-05,2025-05-04,5000175,HEALTHCARE SYSTEM TRINITY,EC02,Electrocardiographs-Multi channel
SMARTH HSOPITAL AAHVA,7000103465,Gujarat,Ahmedabad,West,AHWA,AHWA 394710 / IN,,,Prospect,MECG6208VIEWC,ECG MACHINE 6208 VIEW PLUS,DETE1G21794,SALESWARRANTY,SALES WARRANTY,2022-04-26,2023-04-25,5000089,M/s KRUTARTH MEDIAL SYSTEMS,EC02,Electrocardiographs-Multi channel
Accunest Healthcare,7000121803,West Bengal,Kolkata,East,Hooghly,"Chinsura,Hooghly / Hooghly 712101 / IN",,,Prospect,MECG6208VIEWC,ECG MACHINE 6208 VIEW PLUS,DETE4D28934,SALESWARRANTY,SALES WARRANTY,2024-08-10,2025-08-09,5000040,M/s ELECTROCARE SERVICES,EC02,Electrocardiographs-Multi channel
ACCURA DIAGNOSTICS,7000029350,Kerala,Kochi,South,ALAPPUZHA,ALAPPUZHA 688526 / IN,,,Prospect,M6208VIEWPLUS,ECG MACHINE 6208 VIEW PLUS,DETE6L6168,SALESWARRANTY,SALES WARRANTY,2017-10-07,2018-10-06,5000043,M/s ELIXIR MEDISYSTEMS,EC02,Electrocardiographs-Multi channel
Accurate Diagnostics PVT LTD,7000174390,Maharashtra,Mumbai,West,Pune,"904, Bhandarkar Rd, Ganeshwadi, Deccan Gymkhana, Pune, Mahar",,,Prospect,MECGGENX3,ECG MACHINE GEN X3i,JWML4B6051,STD3YRSWARRANTY,3 Years Standard Warranty,2025-08-30,2028-08-30,814,Manik Maroti Bhagat,EC02,Electrocardiographs-Multi channel
ACCUREX DIAGNOSTICS,7000071700,West Bengal,Kolkata,East,Bardhaman,"JN Roy Rd, Powerhousepara, Bardhaman, West Bengal / Bardhama",,,Prospect,MECG6208VIEWC,ECG MACHINE 6208 VIEW PLUS,DETE7L9153,SALESWARRANTY,SALES WARRANTY,2018-04-28,2019-04-27,5000040,M/s ELECTROCARE SERVICES,EC02,Electrocardiographs-Multi channel
ACCURR DIAGNOSTICS,7000084971,Kerala,Kochi,South,Kumble,"Kumbla (Kumble), Kerala 671321 / Kumble 671321 / IN",,,Prospect,M6208VIEWPLUS,ECG MACHINE 6208 VIEW PLUS,DETE0M18745,EXTWAR1YR,Extended Warranty 1 Yr,2021-01-28,2023-01-26,5000149,MARKETING RINS,EC02,Electrocardiographs-Multi channel
ACE FAMILY CLINIC & DIABETIC CENTRE,7000082848,Kerala,Kochi,South,KOTTAYAM,"NELAMPEROOR,KOTTAYAM / KOTTAYAM 686534 / IN",,,Prospect,MECGGENX3,ECG MACHINE GEN X3i,JWME0A2248,SALESWARRANTY,SALES WARRANTY,2020-11-28,2021-11-27,5000054,M/s GALANT TECHNOLOGIES,EC02,Electrocardiographs-Multi channel
Ace Healthcare,7000016467,Haryana,Delhi,North,Haryana,"#1181/B-2, V.K. Colony / Haryana 134102 / IN",,,Direct Customer,M9108,MULTI CHANNEL RECORDER - A4 - M9108,DUTB8D7145,SALESWARRANTY,SALES WARRANTY,2018-07-28,2019-07-27,106,VIPIN KUMAR SHARMA,EC02,Electrocardiographs-Multi channel
Acer Diagnostic Pvt Ltd,7000124135,West Bengal,Kolkata,East,Kolkata,162/12/3 Lake Gardens Kol - 45 / Kolkata 700045 / IN,,,Prospect,M9108,MULTI CHANNEL RECORDER - A4 - M9108,DUTB4F16826,EXTWAR2YR,Extended Warranty 2 Yr,2025-01-11,2028-01-10,5000040,M/s ELECTROCARE SERVICES,EC02,Electrocardiographs-Multi channel
Acharya Shri Nanesh Hospital,7000117158,Maharashtra,Mumbai,West,mumbai,"Artist Village Sector 8, CBD Belapur / mumbai 400614 / IN",,,Prospect,MECG9108D,MULTI CHANNEL RECORDER 9108D,KKTA3A7012,SALESWARRANTY,SALES WARRANTY,2023-10-10,2024-10-08,5000262,Technologies Mediassist,EC02,Electrocardiographs-Multi channel
